DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISAO,SUBDIVISÕES,MUNICIPIO,ESTADO
50820400Rua Feliciano de Mello,50820400,Rua Feliciano de Mello,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
508204011a Travessa Feliciano de Mello,50820401,1a Travessa Feliciano de Mello,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
508204022a Travessa Feliciano de Mello,50820402,2a Travessa Feliciano de Mello,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820410Rua Doutor Joao Figueira,50820410,Rua Doutor Joao Figueira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820411Travessa Doutor Joao Figueira,50820411,Travessa Doutor Joao Figueira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820420Rua Jose Santos Araquan,50820420,Rua Jose Santos Araquan,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820430Rua Alexandre Selva,50820430,Rua Alexandre Selva,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820440Rua Bezerra da Palma,50820440,Rua Bezerra da Palma,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820441Travessa Bezerra da Palma,50820441,Travessa Bezerra da Palma,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
508204422a Travessa Bezerra da Palma,50820442,2a Travessa Bezerra da Palma,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820450Rua Amaro Duarte,50820450,Rua Amaro Duarte,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820460Rua Antonio Justino,50820460,Rua Antonio Justino,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820470Rua Manuel Padilha,50820470,Rua Manuel Padilha,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820480Rua Conselheiro Furtado,50820480,Rua Conselheiro Furtado,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820490Rua Visconde de Inhauma,50820490,Rua Visconde de Inhauma,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820495Travessa Central,50820495,Travessa Central,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820500Avenida Central,50820500,Avenida Central,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820510Rua Visconde de Pelotas,50820510,Rua Visconde de Pelotas,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820520Rua Tamarindo,50820520,Rua Tamarindo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820530Rua Esperanca,50820530,Rua Esperanca,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820540Rua Manuel Batista de Azevedo,50820540,Rua Manuel Batista de Azevedo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820550Rua UrRPA 06 | Sulino Pinto de Carvalho,50820550,Rua UrRPA 06 | Sulino Pinto de Carvalho,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820560Rua dos Caboclnhos,50820560,Rua dos Caboclnhos,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820570Rua Alfredo Maia,50820570,Rua Alfredo Maia,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820580Rua Cosme Viana,50820580,Rua Cosme Viana,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820590Rua Doutor Adelino,50820590,Rua Doutor Adelino,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820600Rua Jose Miranda,50820600,Rua Jose Miranda,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820610Rua Cabedelo,50820610,Rua Cabedelo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820620Rua Piraja,50820620,Rua Piraja,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820630Rua Albatroz,50820630,Rua Albatroz,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820640Rua Betim,50820640,Rua Betim,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820641Travessa Betim,50820641,Travessa Betim,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820650Rua Joao Barreto de Acioly Lins,50820650,Rua Joao Barreto de Acioly Lins,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820660Rua Aquidauana,50820660,Rua Aquidauana,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820690Rua Itatiuba,50820690,Rua Itatiuba,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820710Rua Abare,50820710,Rua Abare,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50820730Rua Vereador Francisco de Paula Santana - Chico da Manola,50820730,Rua Vereador Francisco de Paula Santana - Chico da Manola,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830090Rua Fazenda Nova,50830090,Rua Fazenda Nova,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50830110Rua Brejo da Madre de Deus,50830110,Rua Brejo da Madre de Deus,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
